company_type,company_field,company_id,city_new,job_id,job_type,salary_bottom,salary_top,year_normal,job_created_year,job_created_month
Рос. компания > 100,Фармакология,213,Другие города,5278,Научный сотрудник,70000,120000,2023,2024,1
НИИ/Университет,Генная инженерия/Молбиол и др,62,Москва и МО,5277,Научный сотрудник,90000,120000,2023,2024,1
Poc. компания < 10/стартап,Генная инженерия/Молбиол и др,126,Москва и МО,5373,Менеджер проектов/продукта,120000,160000,2023,2024,2
НИИ/Университет,Генная инженерия/Молбиол и др,118,Москва и МО,5326,Научный сотрудник,70000,90000,2023,2024,2
НИИ/Университет,Биотехнологии,73,Москва и МО,5378,Научный сотрудник,70000,100000,2023,2024,2
НИИ/Университет,Медицина,31,Санкт-Петербург,5375,Научный сотрудник,50000,150000,2023,2024,2
НИИ/Университет,Медицина,31,Санкт-Петербург,5374,Научный сотрудник,80000,170000,2023,2024,2
Poc. компания 10-100,Биотехнологии,58,Москва и МО,5372,Молекулярный биолог,80000,90000,2023,2024,2
Poc. компания 10-100,Биотехнологии,138,Москва и МО,5371,Молекулярный биолог,70000,80000,2023,2024,2
Poc. компания 10-100,Медицина,218,Москва и МО,5370,Лаборант,50000,90000,2023,2024,2
НИИ/Университет,Медицина,84,Москва и МО,5369,Лаборант,60000,80000,2023,2024,2
НИИ/Университет,Медицина,84,Москва и МО,5368,Лаборант,80000,120000,2023,2024,2
НИИ/Университет,Генная инженерия/Молбиол и др,NA,Москва и МО,5367,Научный сотрудник,70000,100000,2023,2024,2
НИИ/Университет,Биоинформатика,20,Москва и МО,5366,Биоинформатик,110000,150000,2023,2024,2
НИИ/Университет,Генная инженерия/Молбиол и др,81,Москва и МО,5364,Биоинформатик,70000,100000,2023,2024,2
НИИ/Университет,Медицина,157,Москва и МО,5363,Научный сотрудник,75000,150000,2023,2024,2
Клиническая лаборатория,Медицина,165,Москва и МО,5361,Биоинформатик,100000,200000,2023,2024,2
НИИ/Университет,Биоинформатика,211,Москва и МО,5360,Научный сотрудник,150000,300000,2023,2024,2
Рос. компания > 100,Агрономия и пищевая промышленность,219,Москва и МО,5359,Биотехнолог,80000,200000,2023,2024,2
НИИ/Университет,Биоинформатика,211,Москва и МО,5358,Биоинформатик,150000,300000,2023,2024,2
Poc. компания 10-100,Биотехнологии,220,Москва и МО,5357,Менеджер проектов/продукта,80000,80000,2023,2024,2
НИИ/Университет,Медицина,44,Москва и МО,5356,Научный сотрудник,90000,140000,2023,2024,2
НИИ/Университет,Медицина,44,Москва и МО,5355,Лаборант,80000,100000,2023,2024,2
НИИ/Университет,Медицина,1,Москва и МО,5354,Лаборант,60000,120000,2023,2024,2
Poc. компания 10-100,Биотехнологии,58,Москва и МО,5353,Научный сотрудник,100000,110000,2023,2024,2
Другое,Химия,221,Москва и МО,5352,Биотехнолог,100000,200000,2023,2024,2
Poc. компания 10-100,Химия,222,Москва и МО,5351,Химик,120000,250000,2023,2024,2
Клиническая лаборатория,Медицина,210,Другие города,5350,Научный сотрудник,40000,50000,2023,2024,2
Клиническая лаборатория,Медицина,210,Другие города,5349,Научный сотрудник,40000,50000,2023,2024,2
Рос. компания > 100,Агрономия и пищевая промышленность,223,Москва и МО,5348,Биотехнолог,200000,250000,2023,2024,2
Poc. компания 10-100,Химия,64,Москва и МО,5347,Менеджер по продажам,70000,150000,2023,2024,2
Мед. учреждение,Медицина,2,Москва и МО,5342,Научный сотрудник,100000,150000,2023,2024,2
НИИ/Университет,Генная инженерия/Молбиол и др,81,Москва и МО,5341,Научный сотрудник,150000,200000,2023,2024,2
НИИ/Университет,Генная инженерия/Молбиол и др,62,Москва и МО,5340,Научный сотрудник,90000,120000,2023,2024,2
Мед. учреждение,Медицина,2,Москва и МО,5339,Научный сотрудник,80000,80000,2023,2024,2
НИИ/Университет,Медицина,102,Москва и МО,5337,Научный сотрудник,40000,80000,2023,2024,2
Другое,Другое,NA,Москва и МО,5336,"Администратор, ассистент",90000,150000,2023,2024,2
НИИ/Университет,Медицина,86,Москва и МО,5335,Лаборант,45000,50000,2023,2024,2
НИИ/Университет,Биоинформатика,224,Москва и МО,5334,Аналитик данных,80000,140000,2023,2024,2
НИИ/Университет,Медицина,173,Москва и МО,5333,Биоинформатик,80000,110000,2023,2024,2
НИИ/Университет,Медицина,173,Москва и МО,5332,Молекулярный биолог,69000,100000,2023,2024,2
НИИ/Университет,Медицина,86,Москва и МО,5331,Химик,90000,90000,2023,2024,2
Poc. компания < 10/стартап,Генная инженерия/Молбиол и др,225,Москва и МО,5330,Молекулярный биолог,130000,170000,2023,2024,2
Poc. компания 10-100,Биотехнологии,58,Москва и МО,5329,Менеджер проектов/продукта,100000,150000,2023,2024,2
Другое,Медицина,NA,Москва и МО,5328,Менеджер по регистрации,80000,120000,2023,2024,2
НИИ/Университет,Генная инженерия/Молбиол и др,118,Москва и МО,5327,Научный сотрудник,30000,50000,2023,2024,2
